COUNTY,STATE,PER_CAPITA_INCOME,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_FAMILY_INCOME,POPULATION,NUMBER_OF_HOUSEHOLDS
HALL,GEORGIA,23645,50853,58295,182841,61220
SPENCER,INDIANA,23641,52991,64930,20960,7984
LAFAYETTE,MISSOURI,23637,50527,65057,33188,13117
APPOMATTOX,VIRGINIA,23636,50167,59252,15054,5803
WINKLER,TEXAS,23629,48992,55668,7260,2709
DOUGLAS,GEORGIA,23626,52691,58918,133486,46295
FALL RIVER,SOUTH DAKOTA,23624,37667,58910,7001,3138
RICHLAND,ILLINOIS,23621,44070,57038,16213,6620
COCHISE,ARIZONA,23608,45755,55120,131038,49174
WILLIAMSON,ILLINOIS,23605,43125,54242,66606,26819
SUTTER,CALIFORNIA,23602,50408,57129,94787,31725
RIVERSIDE,CALIFORNIA,23591,56529,63378,2228528,683144
CARIBOU,IDAHO,23586,53586,63545,6867,2644
CALEDONIA,VERMONT,23584,45395,54941,31157,12491
KIOWA,OKLAHOMA,23576,36281,46015,9389,3886
RICHARDSON,NEBRASKA,23566,38582,49080,8289,3779
SILVER BOW,MONTANA,23562,38659,53713,34322,15042
GRAND,UTAH,23558,45888,62627,9269,3633
COWLITZ,WASHINGTON,23557,47596,56810,102110,39602
MARINETTE,WISCONSIN,23555,40490,53495,41632,18573
HITCHCOCK,NEBRASKA,23554,39702,56875,2884,1366
MONTGOMERY,VIRGINIA,23548,45543,66800,94910,34789
MONTEZUMA,COLORADO,23548,43188,49245,25512,10688
NELSON,KENTUCKY,23545,43833,54708,43905,16571
MASON,WASHINGTON,23542,48755,57662,60647,23358
HUMBOLDT,CALIFORNIA,23540,41426,52974,134613,53296
PENDER,NORTH CAROLINA,23526,44524,53740,53412,20254
GREENE,MISSOURI,23520,40337,53359,278231,115574
CIMARRON,OKLAHOMA,23514,38301,49600,2432,1067
LAUDERDALE,ALABAMA,23510,42844,55673,92666,38458
ST. JOSEPH,INDIANA,23509,44582,56861,266694,101947
GOLDEN VALLEY,MONTANA,23508,39313,50938,709,323
LEE,ALABAMA,23506,43542,61629,144405,55864
AURORA,SOUTH DAKOTA,23504,46667,56389,2722,1102
GRADY,OKLAHOMA,23500,49637,57046,52855,19762
SHAWANO,WISCONSIN,23500,46559,54485,41776,17245
PAGE,IOWA,23496,43010,57784,15838,6415
WASHINGTON,OHIO,23496,42834,55505,61600,25029
PIERCE,NORTH DAKOTA,23491,42975,63243,4399,1983
MARQUETTE,WISCONSIN,23490,46077,55060,15308,6453
GILES,VIRGINIA,23485,45141,54697,17111,7167
LAFAYETTE,WISCONSIN,23483,49107,59593,16841,6605
GOSHEN,WYOMING,23475,43257,51882,13458,5255
NORTHAMPTON,VIRGINIA,23473,33635,52742,12339,5149
CLARKE,IOWA,23472,43216,59972,9311,3672
KENTUCKY,STATE,23462,43036,54279,4361333,1694996
ROCKDALE,GEORGIA,23461,52579,58441,85650,29317
CHEATHAM,TENNESSEE,23459,52446,61433,39213,14421
MONROE,WISCONSIN,23456,49774,61851,44953,17543
COTTONWOOD,MINNESOTA,23456,45294,55081,11658,4802
ESCAMBIA,FLORIDA,23441,43918,55382,300795,111689
PERRY,MISSOURI,23435,47876,58656,19001,7511
LAMPASAS,TEXAS,23423,49277,58034,19937,7289
WINONA,MINNESOTA,23421,47468,67948,51328,18957
JACKSON,TEXAS,23418,49528,62062,14201,5212
HERKIMER,NEW YORK,23418,45047,55976,64428,26815
MONTGOMERY,NEW YORK,23417,44156,55028,50019,19703
CHEBOYGAN,MICHIGAN,23412,38410,46010,25985,11477
DUCHESNE,UTAH,23411,57683,63048,19109,6850
RUSH,INDIANA,23396,47401,56923,17257,6874
FAYETTE,IOWA,23391,45542,60296,20822,8328
MATAGORDA,TEXAS,23389,43096,51190,36639,13260
HUTCHINSON,TEXAS,23383,44731,51838,21986,8374
OCHILTREE,TEXAS,23382,49964,60121,10467,3736
COCONINO,ARIZONA,23382,49555,59308,134795,46198
RENO,KANSAS,23382,43798,54770,64319,25693
CALHOUN,TEXAS,23381,47027,56167,21503,7870
HALL,NEBRASKA,23380,48712,56897,59431,22168
COFFEE,ALABAMA,23380,43768,58898,50468,18820
JONES,SOUTH DAKOTA,23377,44808,53854,981,438
PREBLE,OHIO,23374,48405,57530,42050,16238
SAN PATRICIO,TEXAS,23373,50657,56069,65210,22147
EDGAR,ILLINOIS,23368,42133,51601,18339,7893
CHAMPAIGN,OHIO,23358,49157,58486,39855,15014
STEPHENSON,ILLINOIS,23350,43472,54367,47315,19408
HENRY,OHIO,23347,49439,61426,28164,11006
MASON,KENTUCKY,23347,41137,48486,17452,6569
JUNEAU,WISCONSIN,23343,45297,54255,26673,10194
BASTROP,TEXAS,23342,51750,61250,74730,25432
BARRON,WISCONSIN,23337,44054,54827,45826,19168
RINGGOLD,IOWA,23324,44551,53353,5107,2074
IRON,WISCONSIN,23324,39051,49059,5937,2953
RED WILLOW,NEBRASKA,23320,42345,58831,11015,4732
HOUSTON,ALABAMA,23316,40948,52214,102326,39250
HARRISON,WEST VIRGINIA,23309,43183,54364,69078,27599
MOORE,TENNESSEE,23307,46170,59462,6347,2416
MENDOCINO,CALIFORNIA,23306,43469,54459,87497,33878
RALLS,MISSOURI,23299,47969,54936,10206,4044
ROANOKE,VIRGINIA,23295,38145,48879,97355,42494
ST. LUCIE,FLORIDA,23285,43413,50334,281015,106060
MADISON,TENNESSEE,23283,41617,54519,98261,35713
TRIPP,SOUTH DAKOTA,23270,39324,48547,5571,2530
WOODBURY,IOWA,23269,45856,57202,102155,38654
GOSPER,NEBRASKA,23266,45893,58583,2005,767
WASHINGTON,ARKANSAS,23264,41248,54190,207911,79214
CUSTER,OKLAHOMA,23261,44972,56889,28092,10562
HANCOCK,WEST VIRGINIA,23261,38522,49200,30517,12890
RED LAKE,MINNESOTA,23257,47569,59600,4087,1681
JACKSON,GEORGIA,23247,53179,61088,60577,21293
HARRISON,INDIANA,23244,50510,59691,39213,14499
STAFFORD,KANSAS,23240,43292,56667,4391,1884
GRANT,ARKANSAS,23239,49004,58808,17922,6855
HARRISON,TEXAS,23236,45675,55113,66467,23415
JEFFERSON,TEXAS,23236,42568,53650,252157,92634
BAKER,OREGON,23234,41500,51199,16055,7120
KIOWA,KANSAS,23232,44650,57647,2527,1065
CATAWBA,NORTH CAROLINA,23232,44332,54596,154432,58533
CAMPBELL,VIRGINIA,23231,47162,56168,54967,21774
PAWNEE,KANSAS,23230,44078,56750,6971,2545
MARION,WEST VIRGINIA,23229,42152,53822,56666,22593
VALLEY,NEBRASKA,23227,40445,54364,4256,1893
SEBASTIAN,ARKANSAS,23222,40471,50511,126536,49294
BONNER,IDAHO,23221,41414,49568,40743,17388
SCOTTS BLUFF,NEBRASKA,23220,43444,53463,36883,14690
WYTHE,VIRGINIA,23219,41275,49044,29274,11656
LONOKE,ARKANSAS,23218,52582,60786,69266,25052
MACON,NORTH CAROLINA,23213,37892,45633,33859,15340
NICHOLAS,WEST VIRGINIA,23209,40064,48275,26168,10657
FULTON,PENNSYLVANIA,23201,48461,56346,14779,5965
MASON,ILLINOIS,23199,42260,56188,14508,6310
HANSON,SOUTH DAKOTA,23197,55815,64375,3377,1037
BOND,ILLINOIS,23195,48163,61238,17665,6373
MASON,MICHIGAN,23183,41136,50719,28648,12470
CORTLAND,NEW YORK,23179,47151,60134,49271,18069
REFUGIO,TEXAS,23174,44548,48963,7327,2818
MIAMI-DADE,FLORIDA,23174,43100,49138,2549075,828031
CALLAWAY,MISSOURI,23171,47964,58357,44276,16548
GARLAND,ARKANSAS,23170,39162,48388,96547,39881
PEND OREILLE,WASHINGTON,23167,40567,47847,12956,5484
ALAMANCE,NORTH CAROLINA,23166,43043,53945,152472,60139
TOOLE,MONTANA,23162,46972,53259,5224,1927
BOYD,NEBRASKA,23157,41279,51250,2093,938
CITRUS,FLORIDA,23148,39100,48013,140214,60319
MINERAL,NEVADA,23146,35017,61226,4700,2147
TAYLOR,TEXAS,23141,44891,56565,132588,49304
PORTSMOUTH,VIRGINIA,23138,46166,53632,95901,36690
CRAIGHEAD,ARKANSAS,23138,41393,52466,98398,37834
JEWELL,KANSAS,23134,39884,51957,3061,1454
STANTON,NEBRASKA,23131,51493,60886,6148,2336
WALLOWA,OREGON,23131,41994,54513,6924,2996
WOOD,TEXAS,23129,43649,52446,42089,15800
WILLIAMSBURG,VIRGINIA,23127,48616,64329,14579,4391
OSWEGO,NEW YORK,23126,48051,59391,121797,45325
DAY,SOUTH DAKOTA,23126,39761,48450,5669,2511
PENDLETON,KENTUCKY,23122,45480,57357,14714,5357
SENECA,NEW YORK,23115,47618,60974,35359,13429
WEBER,UTAH,23106,54974,62642,233871,79525
BROOKINGS,SOUTH DAKOTA,23105,46896,61219,32295,11979
TREGO,KANSAS,23095,45714,56090,2981,1232
SNYDER,PENNSYLVANIA,23088,46513,53072,39711,14397
JEFFERSON,NEW YORK,23078,46484,55325,118073,45011
WASHINGTON,TEXAS,23070,44858,55675,33863,12244
SHELBY,ILLINOIS,23069,47188,56074,22266,8991
FAULK,SOUTH DAKOTA,23069,41453,54219,2370,930
RICE,KANSAS,23068,45336,57196,10055,3914
CUMBERLAND,NORTH CAROLINA,23067,45231,51944,322033,121226
HAMILTON,TEXAS,23067,40655,48894,8410,3029
FOUNTAIN,INDIANA,23063,45884,54191,17108,6925
WAYNE,OHIO,23061,49135,60737,114750,42487
TIPTON,TENNESSEE,23054,52423,59729,61298,21574
BENTON,INDIANA,23049,48711,57079,8823,3444
ST. LOUIS,MISSOURI,23048,34582,43627,318955,140652
ARKANSAS,ARKANSAS,23045,39633,50137,18957,7883
CLEBURNE,ARKANSAS,23044,40246,49059,25856,10286
GREGORY,SOUTH DAKOTA,23041,36719,43160,4247,1986
STEPHENS,OKLAHOMA,23038,43885,57834,44929,17690
CAMDEN,MISSOURI,23038,43458,49942,43822,17647
TAYLOR,WISCONSIN,23032,44869,56250,20633,8761
MONROE,INDIANA,23032,40052,62959,139634,53914
PITT,NORTH CAROLINA,23029,40718,56512,170485,66026
CALHOUN,SOUTH CAROLINA,23023,40704,49517,15109,6163
ROSCOMMON,MICHIGAN,23023,33334,40691,24281,11617
MUSSELSHELL,MONTANA,23022,43409,59112,4729,1966
SCHUYLKILL,PENNSYLVANIA,23021,45012,56974,147700,59658
UNION,IOWA,23007,44838,55380,12547,5339
IBERIA,LOUISIANA,22997,44262,51402,73551,26496
LYCOMING,PENNSYLVANIA,22987,45430,57160,116604,46046
FRANKLIN,KANSAS,22979,49543,58750,25870,9909
CALHOUN,MICHIGAN,22978,42110,52857,135534,53428
LANGLADE,WISCONSIN,22974,42389,50629,19838,8758
SUMNER,KANSAS,22972,47894,61676,23884,9110
WORTH,MISSOURI,22967,39348,49034,2129,940
STODDARD,MISSOURI,22967,37965,49565,29860,12224
WEST VIRGINIA,STATE,22966,41043,52165,1853619,741390
DAVIESS,KENTUCKY,22963,46555,57866,97230,37677
UPTON,TEXAS,22953,51750,57391,3323,1218
CUMBERLAND,ILLINOIS,22952,43958,54423,11015,4184
RILEY,KANSAS,22948,43962,63634,73243,25895
LEWIS,NEW YORK,22942,46840,55401,27108,10677
NORTON,KANSAS,22942,46029,63182,5640,2248
INDIANA,PENNSYLVANIA,22933,43997,56225,88404,34310
JACKSON,OKLAHOMA,22925,42824,51599,26280,10455
SULLIVAN,PENNSYLVANIA,22923,40964,50855,6419,2402
STE. GENEVIEVE,MISSOURI,22921,48433,55208,17996,7235
BOWIE,TEXAS,22911,42346,53995,92851,33808
COOPER,MISSOURI,22910,45992,56565,17574,6568
LAWRENCE,PENNSYLVANIA,22906,43546,55348,90374,36823
WICHITA,TEXAS,22837,42971,52514,131500,49016
TRINITY,CALIFORNIA,22905,36890,47349,13638,5668
BUENA VISTA,IOWA,22899,46951,58937,20350,7615
MONTROSE,COLORADO,22897,45718,55848,41020,16586
BOURBON,KENTUCKY,22893,40933,48310,19999,7865
MILLE LACS,MINNESOTA,22891,47862,57885,25927,10312
PHILLIPS,MONTANA,22890,42632,54746,4205,1800
MONROE,GEORGIA,22888,48630,57440,26613,9550
WAUSHARA,WISCONSIN,22888,43070,52816,24483,9902
NASH,NORTH CAROLINA,22880,43084,52681,95571,37726
DOLORES,COLORADO,22880,37750,51875,1709,780
LINCOLN,NEVADA,22879,40143,48816,5296,1969
LOGAN,OHIO,22878,47542,53810,45678,18143
FREESTONE,TEXAS,22876,44502,54284,19657,7251
VERMILION,INDIANA,22875,42524,50674,16098,6466
WAYNESBORO,VIRGINIA,22872,44847,57726,21099,8708
BEAVERHEAD,MONTANA,22872,41614,54294,9278,4110
RAVALLI,MONTANA,22872,38688,51272,40423,16848
MONTGOMERY,IOWA,22868,44281,53586,10625,4553
SCURRY,TEXAS,22860,47513,56620,17014,5846
BELL,TEXAS,22857,50060,58115,316144,104049
MUSCOGEE,GEORGIA,22856,41339,50999,194949,72243
CALLAHAN,TEXAS,22855,44902,57957,13535,5201
WALDO,MAINE,22853,42221,52614,38819,16448
LAPORTE,INDIANA,22852,47538,58674,111310,42690
COLLINGSWORTH,TEXAS,22847,41576,48250,3061,1174
WASCO,OREGON,22844,43765,53598,25281,9612
BURNETT,WISCONSIN,22843,39564,47404,15449,7354
MERCER,PENNSYLVANIA,22831,44301,55943,116059,46187
DEKALB,INDIANA,22827,47247,56561,42253,16032
WALTON,GEORGIA,22824,52369,60249,84397,29520
HARPER,KANSAS,22820,38313,48333,5951,2595
MARTIN,INDIANA,22817,44740,55776,10269,4146
BROOKE,WEST VIRGINIA,22815,42493,55605,23932,9968
DAGGETT,UTAH,22811,46917,67898,830,305
SANDUSKY,OHIO,22799,46140,56634,60619,23906
LOGAN,NEBRASKA,22799,44417,52813,787,345
TETON,MONTANA,22799,43327,54196,6063,2303
KITTITAS,WASHINGTON,22796,42982,63929,41291,16538
VAN WERT,OHIO,22790,45355,57364,28685,11442
ELLSWORTH,KANSAS,22789,45865,58566,6454,2528
PRESQUE ISLE,MICHIGAN,22788,39652,46601,13234,6253
CALDWELL,LOUISIANA,22782,39385,47327,10083,3935
CLARK,OHIO,22780,43136,54149,137763,54963
RICHLAND,WISCONSIN,22778,45271,55208,17911,7343
MAURY,TENNESSEE,22766,45336,55558,81821,32144
GRANT,NEW MEXICO,22755,37899,45616,29471,12216
CRAWFORD,IOWA,22748,46548,57067,17205,6300
CAMERON,PENNSYLVANIA,22747,41410,52800,5000,2144
HENDERSON,KENTUCKY,22746,41940,54654,46303,18787
PASQUOTANK,NORTH CAROLINA,22745,46053,55554,40419,14399
SWEET GRASS,MONTANA,22743,45938,58462,3640,1304
CASS,MICHIGAN,22743,44346,55053,52212,19663
DEFIANCE,OHIO,22739,47593,55802,38911,15203
YADKIN,NORTH CAROLINA,22726,40371,50372,38217,14926
ALCONA,MICHIGAN,22719,37189,45424,10785,4863
PAULDING,OHIO,22714,44861,58225,19441,7730
PETROLEUM,MONTANA,22714,41705,56042,538,233
DONIPHAN,KANSAS,22713,46512,57530,7905,3161
SHIAWASSEE,MICHIGAN,22713,46217,53971,69910,27485
FISHER,TEXAS,22709,42125,55000,3924,1518
ACCOMACK,VIRGINIA,22703,39328,48708,33289,14333
MANISTEE,MICHIGAN,22702,41551,49708,24626,10571
CAMDEN,GEORGIA,22701,51990,60101,50799,18386
WYOMING,NEW YORK,22700,51100,62490,41923,15624
WAPELLO,IOWA,22699,41425,51694,35469,14534
NORTON,VIRGINIA,22699,39416,56290,3998,1706
HENRY,IOWA,22687,46376,58504,20188,7493
HANCOCK,KENTUCKY,22686,51189,54461,8608,3361
DALE,ALABAMA,22685,44889,56132,50102,19345
UNION,OREGON,22684,42542,51973,25741,10235
VERNON,WISCONSIN,22680,45488,57070,30002,11790
MONTGOMERY,INDIANA,22679,46797,53218,38215,14590
HARRISON,MISSISSIPPI,22677,43124,51941,190756,72253
HARPER,OKLAHOMA,22675,46117,51087,3710,1492
ROBERTS,SOUTH DAKOTA,22670,47191,57684,10210,3646
CAMBRIA,PENNSYLVANIA,22659,41730,54630,142448,58208
GASTON,NORTH CAROLINA,22658,42017,51851,207263,79450
BONNEVILLE,IDAHO,22657,50872,58034,105580,36066
MILLS,TEXAS,22651,44213,51540,4891,1817
LEE,IOWA,22649,42469,55274,35736,14241
KERSHAW,SOUTH CAROLINA,22638,43765,52593,61918,24084
TUSCALOOSA,ALABAMA,22637,45408,58922,196824,67882
OSAGE,MISSOURI,22629,51408,61660,13842,5168
MACKINAC,MICHIGAN,22622,38704,47542,11099,5000
HANCOCK,MISSISSIPPI,22621,44522,53192,44597,18145
TIOGA,PENNSYLVANIA,22621,44187,52998,42267,17058
WASHINGTON,KANSAS,22621,42515,55034,5763,2487
JEFFERSON,ILLINOIS,22620,42981,55188,38769,15288
JACKSON,MICHIGAN,22613,46615,57263,160126,60100
LATIMER,OKLAHOMA,22603,40970,49894,11034,4160
HUNTINGTON,INDIANA,22601,46148,57067,37044,14138
SURRY,VIRGINIA,22600,47292,59331,6922,2602
NOBLES,MINNESOTA,22598,48208,55102,21490,7964
MCPHERSON,SOUTH DAKOTA,22596,37240,44650,2432,1045
SAN JOAQUIN,CALIFORNIA,22589,53380,59900,693177,215563
VERMILION,LOUISIANA,22589,44665,54061,58394,21765
LOGAN,COLORADO,22581,40415,50000,22607,8015
AMHERST,VIRGINIA,22580,44945,56802,32244,12680
IDAHO,STATE,22568,46767,55905,1583364,579797
JACKSON,INDIANA,22568,46501,56297,42769,16713
TRUMBULL,OHIO,22568,42880,53975,208792,86246
POTTER,PENNSYLVANIA,22564,41547,50755,17487,7077
SHERIDAN,NEBRASKA,22551,38548,44859,5390,2380
DAVIDSON,NORTH CAROLINA,22549,43083,54218,162975,64580
CRAWFORD,WISCONSIN,22549,42235,57472,16578,6772
MORRILL,NEBRASKA,22543,43886,50365,4958,2037
JACKSON,WEST VIRGINIA,22527,40376,53355,29229,11459
WAYNE,ILLINOIS,22526,43605,54060,16674,7063
CUMBERLAND,NEW JERSEY,22524,50750,60388,157342,50676
OLDHAM,TEXAS,22519,48929,62500,2064,748
DARKE,OHIO,22511,43425,53929,52666,20776
BEAUREGARD,LOUISIANA,22509,46385,59364,35891,12948
MOBILE,ALABAMA,22501,43028,52234,413188,155178
DUNN,WISCONSIN,22499,48893,62033,43871,16222
YUMA,COLORADO,22498,44308,53502,10093,3811
ALFALFA,OKLAHOMA,22488,44811,57604,5674,2031
LEA,NEW MEXICO,22484,50694,60006,65681,21126
UPSHUR,TEXAS,22483,46600,58447,39640,14286
KIOWA,COLORADO,22482,40813,55938,1423,559
LA SALLE,LOUISIANA,22481,42528,55587,14843,5619
NORTHUMBERLAND,PENNSYLVANIA,22478,41208,52280,94444,39348
DELTA,MICHIGAN,22471,42676,53489,36967,15885
DOUGLAS,WASHINGTON,22467,51908,55665,38807,13976
TILLAMOOK,OREGON,22452,43676,51235,25300,10236
NUCKOLLS,NEBRASKA,22448,37594,52127,4462,2119
TETON,IDAHO,22436,53931,62389,10141,3583
FLORENCE,WISCONSIN,22434,47960,52846,4477,1767
SOUTHAMPTON,VIRGINIA,22433,46150,58038,18444,6708
FLORENCE,SOUTH CAROLINA,22432,41910,51660,137393,51332
MCKEAN,PENNSYLVANIA,22426,41834,51472,43294,17450
MEDINA,TEXAS,22413,55326,61952,46512,15284
WALLER,TEXAS,22412,50097,59684,43836,13601
JOHNSTON,NORTH CAROLINA,22410,49711,58463,172321,60759
FRANKLIN,TENNESSEE,22398,42904,48711,40985,16067
LENAWEE,MICHIGAN,22395,47766,59156,99505,37754
LABETTE,KANSAS,22394,40916,49907,21369,8703
HENRY,MISSOURI,22394,39839,50344,22183,9551
TODD,MINNESOTA,22383,45000,53847,24697,9904
WYANDOT,OHIO,22382,44448,57009,22582,9284
MARSHALL,KENTUCKY,22381,43907,54460,31296,11963
PONTOTOC,OKLAHOMA,22381,41881,52738,37700,14793
MONTGOMERY,TENNESSEE,22380,49617,57117,177640,64026
GENESEE,MICHIGAN,22380,42089,53072,421575,165669
BELMONT,OHIO,22380,41534,52232,69990,28329
MORTON,KANSAS,22378,46607,51250,3182,1186
HARDIN,ILLINOIS,22366,37071,46932,4273,1800
COMANCHE,OKLAHOMA,22363,46036,54389,124591,44251
WARREN,MISSISSIPPI,22362,41025,54240,48389,18404
PAGE,VIRGINIA,22355,42906,49682,23975,9623
OSAGE,OKLAHOMA,22353,44195,55339,47800,18512
SAGINAW,MICHIGAN,22349,42331,54004,198841,77412
HUNT,TEXAS,22341,44858,55101,86455,30756
NEWTON,MISSOURI,22341,42268,50565,58552,22045
WAHKIAKUM,WASHINGTON,22334,41815,48156,4006,1715
MENOMINEE,MICHIGAN,22331,41739,49566,23917,10787
CREEK,OKLAHOMA,22327,43026,52398,70246,26296
JEFFERSON,OHIO,22324,40577,51183,68928,28326
LATAH,IDAHO,22322,41735,60899,37636,14941
BEDFORD,VIRGINIA,22322,35593,44058,6052,2800
FULTON,ILLINOIS,22318,45130,56215,36829,14610
BACA,COLORADO,22318,38829,48080,3761,1651
MORGAN,WEST VIRGINIA,22312,36046,51724,17502,7343
WAYNE,MICHIGAN,22308,41184,52423,1804507,670987
GREENE,ILLINOIS,22307,43502,53680,13778,5790
ORLEANS,VERMONT,22303,41953,52235,27184,11043
GRANVILLE,NORTH CAROLINA,22295,49852,54842,58188,19953
ALLEN,OHIO,22295,42823,54846,105895,40552
SISKIYOU,CALIFORNIA,22293,37709,47183,44503,19417
KEARNY,KANSAS,22292,52264,60735,3956,1301
CRANE,TEXAS,22291,50417,60625,4484,1571
KANABEC,MINNESOTA,22291,47068,54060,16151,6277
GREENWOOD,KANSAS,22280,38346,53288,6582,2855
CLAY,ILLINOIS,22279,40640,52000,13744,5486
PHILADELPHIA,PENNSYLVANIA,22279,37192,46375,1536704,580017
WARD,TEXAS,22278,42568,52953,10836,3938
MARION,KANSAS,22269,45830,57375,12491,4861
RABUN,GEORGIA,22260,35423,50864,16271,6997
UNION,PENNSYLVANIA,22259,48528,55763,44932,15062
BEDFORD,PENNSYLVANIA,22259,43290,53401,49490,20198
HURON,OHIO,22257,49404,56337,59390,22361
CASS,ILLINOIS,22257,45734,53871,13530,5134
PONDERA,MONTANA,22256,41277,52698,6166,2302
ORLEANS,NEW YORK,22255,48502,58031,42663,15725
TOOELE,UTAH,22252,61412,66201,59120,18281
BOYLE,KENTUCKY,22249,41473,49654,28701,11100
HARDING,SOUTH DAKOTA,22247,44353,56354,1330,527
PIKE,INDIANA,22245,40680,50069,12780,5149
KEOKUK,IOWA,22243,42167,54323,10428,4354
SEVIER,TENNESSEE,22242,43649,50704,91295,36815
COOS,OREGON,22239,37940,47830,62753,26072
HENRY,TENNESSEE,22239,36950,48836,32293,13473
GREENE,INDIANA,22235,43980,54728,33001,12894
ROSEBUD,MONTANA,22229,48789,60188,9310,3268
KLICKITAT,WASHINGTON,22229,41694,48375,20537,8019
SABINE,LOUISIANA,22229,35159,46816,24286,9175
MORROW,OHIO,22228,51484,58660,34932,12940
HASKELL,TEXAS,22223,36857,48886,5885,2425
LEWIS,WASHINGTON,22212,42860,53627,75419,29527
DAVIS,IOWA,22210,45040,51772,8755,3115
KAY,OKLAHOMA,22207,41012,50266,46122,18357
LA PAZ,ARIZONA,22200,35776,42729,20408,10221
ST. LAWRENCE,NEW YORK,22198,43647,53346,112097,41839
ADAMS,WISCONSIN,22196,44897,51949,20741,8278
SOMERSET,PENNSYLVANIA,22192,43597,54418,77341,29791
PIKE,GEORGIA,22191,53865,61309,17807,6140
HUMPHREYS,TENNESSEE,22183,42846,54492,18392,7396
LAS ANIMAS,COLORADO,22180,42261,53089,15136,5992
ARKANSAS,STATE,22170,40768,50759,2933369,1129723
LAWRENCE,INDIANA,22169,42627,52567,46053,18592
CHAUTAUQUA,NEW YORK,22168,42429,52854,134156,54863
ST. MARTIN,LOUISIANA,22164,42186,54589,52559,18756
BOONE,ARKANSAS,22160,38506,47585,37099,15086
CLEARWATER,MINNESOTA,22157,43269,52661,8725,3586
UNION,GEORGIA,22156,40009,47736,21399,9141
MCCORMICK,SOUTH CAROLINA,22150,40028,48283,10091,4069
GLENN,CALIFORNIA,22148,43023,51705,28054,9628
ANDERSON,KANSAS,22139,41713,54962,8021,3308
HOPKINS,KENTUCKY,22132,40891,51596,46810,18495
WAYNE,IOWA,22127,40024,52447,6382,2589
RAPIDES,LOUISIANA,22126,40930,51092,132034,47606
LYON,KENTUCKY,22123,40112,55125,8394,3294
HURON,MICHIGAN,22120,40204,50996,32751,13907
EAST FELICIANA,LOUISIANA,22099,47225,54664,20111,6991
CHENANGO,NEW YORK,22097,43941,54395,50121,19829
KNOX,ILLINOIS,22093,40667,52496,52545,21481
GARFIELD,NEBRASKA,22092,41892,49904,1947,864
FRANKLIN,MAINE,22083,41626,50251,30660,12098
ANDERSON,SOUTH CAROLINA,22081,41579,53856,188480,73296
CLAY,NORTH CAROLINA,22081,38828,46528,10599,4431
SENECA,OHIO,22075,43764,54219,56376,21651
MARENGO,ALABAMA,22072,35079,48116,20669,8464
TRIMBLE,KENTUCKY,22070,49718,57174,8818,3512
FURNAS,NEBRASKA,22068,39603,51458,4920,2215
TEXAS,OKLAHOMA,22064,49901,57713,21157,7180
LINCOLN,MISSOURI,22063,52835,59074,53051,18714
VENANGO,PENNSYLVANIA,22060,41977,51925,54590,22547
RIPLEY,INDIANA,22059,47537,59022,28636,10761
WHITE,GEORGIA,22059,40670,51282,27400,11788
LAKE,OREGON,22056,33611,47537,7862,3566
DEER LODGE,MONTANA,22052,38958,49714,9285,3855
CATTARAUGUS,NEW YORK,22049,42603,52637,79735,32246
MASSAC,ILLINOIS,22047,43615,55256,15282,6053
PERRY,ARKANSAS,22047,42455,50840,10381,3903
IOSCO,MICHIGAN,22047,36236,45265,25662,11172
DECATUR,INDIANA,22046,48047,54432,25939,9792
GREENUP,KENTUCKY,22035,44060,53746,36822,14465
CHEROKEE,ALABAMA,22030,34907,45998,26034,11656
CLINTON,OHIO,22026,46048,54413,42013,15969
MARIES,MISSOURI,22026,42566,55331,9102,3749
EDWARDS,TEXAS,22015,43839,54440,2070,838
MARION,OREGON,22001,46885,54920,318441,113285
HENDERSON,TEXAS,21995,40900,48789,78636,29732
MARION,FLORIDA,21992,39453,46538,333503,134002
MEADE,KANSAS,21990,51000,54093,4486,1714
GARFIELD,UTAH,21989,45357,50429,5123,1890
STEVENS,WASHINGTON,21986,41742,52410,43513,17684
HOCKLEY,TEXAS,21984,50565,61002,23115,7973
RANDOLPH,ILLINOIS,21976,47427,60224,33218,11889
COLES,ILLINOIS,21970,37040,53465,53732,21046
TUSCARAWAS,OHIO,21966,43739,52496,92528,36149
PITTSBURG,OKLAHOMA,21966,41252,50907,45417,18456
BUCHANAN,MISSOURI,21961,44363,57326,89419,33331
HAMILTON,ILLINOIS,21960,38417,56202,8413,3512
ALPENA,MICHIGAN,21948,38016,48308,29399,12899
NOBLE,OKLAHOMA,21947,44842,55018,11529,4565
RAINS,TEXAS,21946,44478,55233,10989,4232
PICKETT,TENNESSEE,21942,35184,42159,5095,2388
ASHLAND,OHIO,21940,46548,55342,53234,20207
PUEBLO,COLORADO,21940,41777,52705,160048,62439
SHERMAN,TEXAS,21936,48185,58977,3048,949
MARSHALL,INDIANA,21933,45709,57613,47057,17581
RICHLAND,OHIO,21932,41835,53602,123387,48458
BRULE,SOUTH DAKOTA,21928,45284,57078,5286,2094
HENRY,ALABAMA,21924,41650,54725,17308,7001
HENRY,KENTUCKY,21923,46016,53557,15425,6008
VAN ZANDT,TEXAS,21920,43439,51707,52515,19064
OUACHITA,LOUISIANA,21917,38955,50992,154641,57551
ATCHISON,KANSAS,21909,45212,56271,16839,6216
MARION,MISSOURI,21909,42046,52844,28804,11203
