state,city,Temp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
New York,Malone,High,23,27,36,51,64,73,77,75,68,55,43,30
New York,Malone,Low,4,6,16,32,44,54,58,55,47,36,26,13
New York,Maryland,High,30,32,41,55,66,74,78,77,69,58,46,34
New York,Maryland,Low,11,13,20,32,41,51,55,54,47,36,29,19
New York,Massena,High,25,28,38,53,68,76,81,78,69,57,43,30
New York,Massena,Low,5,7,19,33,45,53,58,56,48,37,28,13
New York,Mastic,High,38,41,48,58,67,76,82,80,74,63,54,44
New York,Mastic,Low,22,24,30,39,48,58,64,63,55,44,36,28
New York,Medford,High,40,42,49,60,70,79,84,82,76,64,54,44
New York,Medford,Low,23,25,31,39,49,59,65,64,57,45,37,28
New York,Middletown,High,35,39,49,61,72,80,83,82,75,64,52,40
New York,Middletown,Low,18,20,28,39,49,58,63,61,54,43,34,25
New York,Millbrook,High,34,37,46,58,69,77,81,79,71,61,49,38
New York,Millbrook,Low,12,14,23,33,43,51,56,55,46,34,26,18
New York,Mineola,High,40,42,50,60,70,80,85,83,76,65,55,45
New York,Mineola,Low,26,28,34,42,51,61,66,65,58,48,40,31
New York,Montauk,High,38,40,46,55,64,73,79,79,72,63,53,44
New York,Montauk,Low,26,27,32,40,49,60,65,65,59,50,41,32
New York,Montgomery,High,35,38,47,60,71,80,84,82,74,62,51,39
New York,Montgomery,Low,16,18,26,36,45,56,60,59,50,38,30,22
New York,Morrisville,High,27,30,39,53,65,73,76,75,68,55,44,32
New York,Morrisville,Low,11,13,21,33,43,53,56,56,49,37,29,18
New York,Mount Morris,High,32,35,43,57,69,77,81,79,73,60,48,37
New York,Mount Morris,Low,15,17,24,35,46,55,60,58,50,40,32,22
New York,Naples,High,29,32,40,54,65,73,76,75,68,56,45,33
New York,Naples,Low,14,16,23,35,46,56,61,59,52,41,31,20
New York,New Paltz,High,33,37,46,60,70,78,82,80,72,61,49,37
New York,New Paltz,Low,18,20,27,39,49,58,63,62,55,44,35,24
New York,New York,High,39,42,50,60,71,79,85,83,76,65,54,44
New York,New York,Low,26,29,35,44,55,64,70,69,61,50,41,32
New York,New York-JFK Intl Arpt,High,39,42,49,59,69,78,83,82,75,65,54,44
New York,New York-JFK Intl Arpt,Low,26,28,34,44,53,63,69,68,61,50,41,31
New York,New York-La Guardia Arpt,High,39,42,50,61,71,80,85,84,76,65,55,44
New York,New York-La Guardia Arpt,Low,27,29,35,44,54,64,69,69,62,51,42,32
New York,Newcomb,High,24,28,37,50,62,71,75,73,65,53,40,28
New York,Newcomb,Low,4,6,15,29,40,50,54,53,46,34,26,12
New York,Niagara Falls,High,32,34,42,56,68,76,81,79,72,60,48,37
New York,Niagara Falls,Low,15,17,24,35,45,56,61,59,51,40,31,22
New York,Nicholville,High,26,30,40,55,68,76,80,78,71,57,45,32
New York,Nicholville,Low,7,10,19,33,44,54,58,57,49,38,28,15
New York,North Blenheim,High,33,35,43,56,68,77,81,80,72,61,50,38
New York,North Blenheim,Low,11,13,22,33,43,53,57,56,49,37,29,19
New York,North Tonawanda,High,32,36,44,56,69,78,82,80,73,60,49,37
New York,North Tonawanda,Low,17,19,25,35,46,56,61,59,52,41,32,23
New York,Norwich,High,32,35,44,57,69,77,81,79,72,60,48,36
New York,Norwich,Low,11,13,20,33,41,51,55,54,47,36,28,18
New York,Oceanside,High,38,41,48,58,67,76,81,81,75,64,54,43
New York,Oceanside,Low,24,25,31,40,49,60,66,65,58,46,38,29
New York,Ogdensburg,High,25,30,40,54,67,76,81,79,71,58,44,32
New York,Ogdensburg,Low,6,8,19,33,45,54,60,57,49,39,28,15
New York,Old Forge,High,25,28,37,50,63,71,75,73,66,54,42,30
New York,Old Forge,Low,4,6,15,29,40,50,54,53,45,34,25,12
New York,Oneonta,High,30,32,41,55,66,74,78,77,69,58,46,34
New York,Oneonta,Low,11,13,20,32,41,51,55,54,47,36,29,19
New York,Oswego,High,30,33,41,53,65,74,79,78,70,58,47,35
New York,Oswego,Low,18,20,27,38,47,57,63,62,55,44,35,25
New York,Patchogue,High,39,41,49,59,69,78,83,81,74,64,53,44
New York,Patchogue,Low,22,24,31,39,49,58,64,63,56,45,37,28
New York,Pavilion,High,31,34,43,56,68,76,81,79,72,60,49,36
New York,Pavilion,Low,14,16,22,34,44,54,58,56,49,39,31,21
New York,Penn Yan,High,32,34,44,56,69,77,82,80,72,60,47,37
New York,Penn Yan,Low,14,15,23,34,45,55,60,58,50,39,31,21
New York,Peru,High,28,32,41,56,69,77,81,79,71,58,46,33
New York,Peru,Low,9,12,22,34,45,54,59,57,49,38,29,17
New York,Phoenicia,High,26,29,37,49,61,68,72,71,64,54,42,31
New York,Phoenicia,Low,12,13,20,32,42,51,55,54,47,37,28,18
New York,Plattsburgh,High,26,29,39,53,66,75,80,77,68,56,44,32
New York,Plattsburgh,Low,8,9,21,34,45,55,60,58,49,38,29,16
New York,Port Jervis,High,34,38,48,61,72,79,83,81,73,62,50,38
New York,Port Jervis,Low,15,17,25,35,45,54,59,58,50,38,30,21
New York,Poughkeepsie,High,34,38,47,59,70,78,84,82,74,62,51,39
New York,Poughkeepsie,Low,15,16,26,36,46,55,60,59,50,38,30,21
New York,Ray Brook,High,26,29,38,51,65,73,78,76,67,55,42,30
New York,Ray Brook,Low,3,3,13,27,38,48,52,50,42,33,24,11
New York,Riverhead,High,39,41,48,60,70,79,83,82,75,64,54,44
New York,Riverhead,Low,25,27,33,41,51,60,66,65,59,49,40,31
New York,Rochester,High,32,34,43,56,68,77,81,79,72,60,48,37
New York,Rochester,Low,18,19,26,37,46,56,61,60,52,42,33,24
New York,Rock Hill,High,33,34,46,56,70,76,80,80,72,60,48,37
New York,Rock Hill,Low,13,11,20,30,43,54,58,57,48,37,28,19
New York,Rome,High,29,33,41,56,68,76,80,78,71,58,47,35
New York,Rome,Low,10,12,21,34,43,54,58,57,49,39,31,19
New York,Salamanca,High,33,35,44,57,69,78,81,80,73,60,49,37
New York,Salamanca,Low,12,13,20,31,40,50,54,52,45,35,27,19
New York,Salem,High,31,34,44,58,70,78,82,80,72,60,47,36
New York,Salem,Low,9,11,22,33,43,52,56,54,45,35,28,17
New York,Saratoga Springs,High,31,35,45,60,72,80,83,82,74,61,48,36
New York,Saratoga Springs,Low,13,15,24,36,46,55,60,58,50,39,31,20
New York,Scarsdale,High,39,43,51,63,74,82,86,84,76,65,55,44
New York,Scarsdale,Low,20,22,29,38,47,57,62,61,53,41,35,26
New York,Sherburne,High,30,33,41,55,68,76,80,78,71,59,47,35
New York,Sherburne,Low,11,13,20,32,42,52,56,55,47,36,29,19
New York,Sodus,High,33,35,44,57,69,78,82,80,73,61,49,37
New York,Sodus,Low,18,19,26,37,46,56,61,60,53,42,33,24
New York,South Wales,High,30,33,41,55,66,74,78,77,69,58,47,35
New York,South Wales,Low,15,15,22,33,43,53,57,56,49,39,31,21
New York,Spencer,High,31,34,44,56,68,77,81,80,72,60,47,36
New York,Spencer,Low,10,11,20,31,40,50,54,53,45,34,27,17
New York,Staatsburg,High,35,39,48,60,71,80,85,83,75,63,52,40
New York,Staatsburg,Low,9,13,21,31,42,52,56,55,46,34,26,16
New York,Stanfordville,High,34,38,46,58,70,78,83,80,73,62,50,39
New York,Stanfordville,Low,13,14,24,34,43,53,57,56,48,35,27,18
New York,Stormville,High,33,38,48,60,71,78,82,81,74,62,49,38
New York,Stormville,Low,16,18,27,37,48,57,62,60,53,42,32,22
New York,Suffern,High,36,39,49,60,71,79,84,82,75,64,53,41
New York,Suffern,Low,18,20,29,39,48,57,62,61,53,41,33,24
New York,Syracuse,High,32,35,42,57,69,78,82,80,73,60,49,37
New York,Syracuse,Low,17,18,26,37,47,58,63,61,54,43,34,23
New York,Troy,High,32,35,45,59,71,79,84,82,74,62,50,37
