STATELINK,CITYLINK,TYPE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
MASSACHUSETTS,ADAMS,ROBBERIES,,,2,1,0,0,4,0,1,1,1,4
MASSACHUSETTS,ADAMS,ASSAULTS,,,25,29,42,20,32,33,31,30,19,26
MASSACHUSETTS,ADAMS,THEFTS,,,109,118,119,119,189,161,163,175,124,135
MASSACHUSETTS,ADAMS,AUTO THEFTS,,,16,9,16,8,11,7,7,9,11,5
MASSACHUSETTS,ADAMS,RAPES,,,5,9,0,5,1,6,11,4,6,11
MASSACHUSETTS,ADAMS,BURGLARIES,,,71,80,85,53,65,83,62,65,65,49
MASSACHUSETTS,ADAMS,ARSON,,,0,2,6,0,0,2,4,2,0,3
MASSACHUSETTS,ADAMS,MURDERS,,,0,0,0,0,0,0,0,0,0,0
WISCONSIN,ADAMS,AUTO THEFTS,,,,,,,,4,5,,5,0
WISCONSIN,ADAMS,MURDERS,,,,,,,,0,0,,0,0
WISCONSIN,ADAMS,ARSON,,,,,,,,0,1,,0,0
WISCONSIN,ADAMS,ASSAULTS,,,,,,,,2,4,,2,3
WISCONSIN,ADAMS,THEFTS,,,,,,,,69,66,,62,72
WISCONSIN,ADAMS,RAPES,,,,,,,,0,0,,0,0
WISCONSIN,ADAMS,ROBBERIES,,,,,,,,0,1,,1,0
WISCONSIN,ADAMS,BURGLARIES,,,,,,,,22,18,,21,25
NEW YORK,ADAMS,ARSON,1,,,,,0,0,0,0,0,0,0
NEW YORK,ADAMS,RAPES,0,0,0,0,0,0,0,0,0,0,0,0
NEW YORK,ADAMS,BURGLARIES,1,3,2,1,5,0,0,3,2,7,8,2
NEW YORK,ADAMS,AUTO THEFTS,0,2,0,0,0,0,0,1,0,0,0,0
NEW YORK,ADAMS,ROBBERIES,0,0,0,0,0,0,0,0,0,0,0,1
NEW YORK,ADAMS,MURDERS,0,0,0,0,0,0,0,0,0,0,0,0
NEW YORK,ADAMS,ASSAULTS,1,1,0,0,0,0,0,0,0,1,0,0
NEW YORK,ADAMS,THEFTS,5,9,8,5,7,7,12,4,15,10,22,6
PENNSYLVANIA,ADAMSTOWN,ARSON,0,0,0,0,1,0,0,0,0,0,0,
PENNSYLVANIA,ADAMSTOWN,ROBBERIES,0,0,0,0,0,0,0,1,1,0,1,
PENNSYLVANIA,ADAMSTOWN,AUTO THEFTS,2,2,5,1,0,2,2,3,0,0,0,
PENNSYLVANIA,ADAMSTOWN,RAPES,0,0,1,0,0,0,0,0,0,0,0,
PENNSYLVANIA,ADAMSTOWN,THEFTS,17,13,17,21,15,14,14,34,26,15,18,
PENNSYLVANIA,ADAMSTOWN,BURGLARIES,7,3,10,4,3,1,2,5,2,5,9,
PENNSYLVANIA,ADAMSTOWN,MURDERS,0,0,0,0,0,0,0,0,0,0,0,
PENNSYLVANIA,ADAMSTOWN,ASSAULTS,0,0,1,0,0,0,0,0,0,0,2,
ALABAMA,ADAMSVILLE,MURDERS,0,1,0,0,0,0,0,,0,0,2,0
ALABAMA,ADAMSVILLE,ARSON,,,,,,,,,,,2,
ALABAMA,ADAMSVILLE,ASSAULTS,13,26,43,23,25,29,32,,7,5,26,20
ALABAMA,ADAMSVILLE,AUTO THEFTS,14,31,19,23,28,23,20,,18,23,13,20
ALABAMA,ADAMSVILLE,RAPES,4,4,1,1,3,2,1,,1,3,2,1
ALABAMA,ADAMSVILLE,BURGLARIES,42,42,41,40,51,38,45,,33,21,61,49
ALABAMA,ADAMSVILLE,ROBBERIES,3,5,10,8,12,13,20,,17,2,7,7
ALABAMA,ADAMSVILLE,THEFTS,231,225,251,343,307,228,351,,291,250,226,223
TENNESSEE,ADAMSVILLE,RAPES,0,0,0,0,0,0,1,0,1,0,0,0
TENNESSEE,ADAMSVILLE,BURGLARIES,5,7,2,7,3,0,3,11,9,16,10,12
TENNESSEE,ADAMSVILLE,AUTO THEFTS,0,1,1,3,2,2,7,7,3,14,2,1
TENNESSEE,ADAMSVILLE,ASSAULTS,1,5,4,2,0,3,4,8,2,2,5,2
TENNESSEE,ADAMSVILLE,ARSON,0,0,0,0,0,0,0,0,1,0,1,1
TENNESSEE,ADAMSVILLE,THEFTS,11,23,48,25,12,15,24,40,26,31,36,35
TENNESSEE,ADAMSVILLE,MURDERS,0,0,0,1,0,0,0,0,0,0,0,0
TENNESSEE,ADAMSVILLE,ROBBERIES,0,0,0,0,0,0,0,1,0,0,0,0
LOUISIANA,ADDIS,THEFTS,0,0,,1,1,2,4,,,,,
LOUISIANA,ADDIS,RAPES,0,0,,0,0,0,0,,,,,
LOUISIANA,ADDIS,ROBBERIES,0,0,,0,0,0,0,,,,,
LOUISIANA,ADDIS,BURGLARIES,0,0,,0,0,0,0,,,,,
LOUISIANA,ADDIS,AUTO THEFTS,1,0,,0,0,0,1,,,,,
LOUISIANA,ADDIS,ASSAULTS,5,3,,5,11,11,9,,,,,
LOUISIANA,ADDIS,MURDERS,0,0,,0,0,0,0,,,,,
LOUISIANA,ADDIS,ARSON,0,0,,0,0,0,0,,,,,
ALABAMA,ADDISON,RAPES,,,,,,,0,0,1,0,0,0
ALABAMA,ADDISON,ROBBERIES,,,,,,,0,0,0,0,0,0
ALABAMA,ADDISON,ASSAULTS,,,,,,,4,5,4,0,1,7
ALABAMA,ADDISON,AUTO THEFTS,,,,,,,1,0,3,4,4,6
ALABAMA,ADDISON,THEFTS,,,,,,,21,24,22,26,15,18
ALABAMA,ADDISON,BURGLARIES,,,,,,,1,10,4,3,9,5
ALABAMA,ADDISON,MURDERS,,,,,,,0,0,0,0,0,0
ALABAMA,ADDISON,ARSON,,,,,,,,,,,1,
TEXAS,ADDISON,THEFTS,635,763,740,830,828,955,798,704,742,651,676,
TEXAS,ADDISON,ARSON,0,7,4,1,2,4,2,0,2,0,0,
TEXAS,ADDISON,ASSAULTS,30,36,54,50,60,60,87,57,47,69,50,
TEXAS,ADDISON,RAPES,6,4,5,14,11,5,8,7,7,7,10,
TEXAS,ADDISON,ROBBERIES,16,24,20,33,24,36,32,29,35,20,18,
TEXAS,ADDISON,AUTO THEFTS,104,121,117,115,197,135,109,79,135,106,105,
TEXAS,ADDISON,MURDERS,0,1,2,0,0,3,0,1,1,1,0,
TEXAS,ADDISON,BURGLARIES,117,156,152,157,161,190,185,142,142,105,117,
ILLINOIS,ADDISON,RAPES,9,16,16,8,10,14,12,15,17,16,12,14
ILLINOIS,ADDISON,ROBBERIES,19,16,16,17,15,14,16,15,14,34,26,18
ILLINOIS,ADDISON,ARSON,8,6,6,5,5,2,6,5,0,12,13,16
ILLINOIS,ADDISON,THEFTS,811,766,766,783,783,652,595,602,633,663,562,574
